"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"1438","Ciara",0.753,0.756,9,-7.57,1,0.0539,0.00911,0.000566,0.123,0.321,248853,"Heavy Rotation"
"1439","Ciara",0.804,0.729,6,-5.723,0,0.0462,0.000808,0.000152,0.262,0.725,212533,"Girls Get Your Money"
"1440","Ciara",0.77,0.348,9,-9.052,1,0.0434,0.00701,0.0208,0.117,0.23,224546,"Yeah I Know"
"1441","Ciara",0.574,0.696,0,-6.301,1,0.068,0.258,0,0.192,0.239,248133,"Speechless"
"1442","Ciara",0.708,0.464,0,-7.756,1,0.0499,0.145,3.63e-06,0.0843,0.445,240093,"You Can Get It"
"1443","Ciara",0.605,0.766,11,-5.049,0,0.07,0.0263,0,0.264,0.394,188546,"Turn It Up"
"1444","Ciara",0.397,0.676,0,-7.356,0,0.22,0.0383,0,0.355,0.433,211280,"Wants For Dinner"
"1445","Ciara",0.643,0.395,0,-7.45,0,0.0414,0.449,6.68e-06,0.274,0.356,315186,"I Run It"
"1446","Ciara",0.701,0.662,6,-5.744,0,0.127,0.342,0,0.239,0.649,225693,"Ciara To The Stage"
"1447","Ciara",0.893,0.665,1,-5.07,1,0.137,0.0201,0,0.299,0.874,220426,"Love Sex Magic"
"1448","Ciara",0.789,0.688,9,-4.521,0,0.064,0.0174,0,0.166,0.682,242533,"High Price"
"1449","Ciara",0.738,0.794,2,-5.192,1,0.0519,0.00856,2.63e-06,0.0551,0.49,271533,"Turntables"
"1450","Ciara",0.632,0.691,8,-3.65,0,0.0759,0.0644,0,0.104,0.322,267266,"Like A Surgeon"
"1451","Ciara",0.669,0.725,11,-6.386,1,0.0337,0.0215,0,0.158,0.287,272613,"Never Ever"
"1452","Ciara",0.651,0.603,4,-6.411,0,0.0409,0.0232,0,0.167,0.159,207933,"Lover's Thing"
"1453","Ciara",0.891,0.893,2,-5.808,1,0.111,0.0195,0.00186,0.262,0.774,245693,"Work"
"1454","Ciara",0.719,0.917,1,-5.535,1,0.0616,0.0943,0,0.593,0.187,231986,"Pucker Up"
"1455","Ciara",0.734,0.883,5,-4.871,0,0.12,0.00794,0.00108,0.0999,0.563,217173,"G Is For Girl (A-Z)"
"1456","Ciara",0.704,0.644,7,-4.828,1,0.0366,0.0457,3.28e-05,0.168,0.405,212946,"Keep Dancin' On Me"
"1457","Ciara",0.657,0.779,11,-3.74,1,0.0385,0.0968,1.62e-06,0.304,0.571,218026,"Tell Me What Your Name Is"
"1458","Ciara",0.573,0.58,1,-5.831,0,0.0494,0.475,0,0.0617,0.219,227520,"I Don't Remember"
"1459","Ciara",0.735,0.866,5,-4.604,0,0.0829,0.222,0.000331,0.152,0.808,218080,"Echo"
"1460","Ciara",0.826,0.536,1,-5.681,0,0.0592,0.00155,5.83e-06,0.129,0.659,236120,"I'm On"
"1461","Ciara",0.704,0.662,6,-5.747,0,0.133,0.343,0,0.277,0.639,225693,"Ciara To The Stage"
"1462","Ciara",0.893,0.666,1,-5.089,1,0.136,0.0203,0,0.342,0.874,220426,"Love Sex Magic"
"1463","Ciara",0.791,0.686,9,-4.539,0,0.0651,0.0171,0,0.156,0.669,242533,"High Price"
"1464","Ciara",0.736,0.792,2,-5.191,1,0.0524,0.00862,2.23e-06,0.0533,0.505,271533,"Turntables"
"1465","Ciara",0.651,0.69,11,-3.651,1,0.0679,0.0618,0,0.107,0.311,267266,"Like A Surgeon"
"1466","Ciara",0.668,0.726,11,-6.371,1,0.0337,0.0213,0,0.158,0.286,272613,"Never Ever"
"1467","Ciara",0.648,0.605,4,-6.452,0,0.0418,0.0235,0,0.138,0.166,207933,"Lover's Thing"
"1468","Ciara",0.891,0.893,2,-5.802,1,0.111,0.0199,0.00195,0.263,0.772,245693,"Work"
"1469","Ciara",0.719,0.917,1,-5.54,1,0.0767,0.0946,0,0.519,0.172,231986,"Pucker Up"
"1470","Ciara",0.734,0.882,1,-4.871,1,0.117,0.00772,0.00111,0.0993,0.558,217173,"G Is For Girl (A-Z)"
"1471","Ciara",0.7,0.644,7,-4.829,1,0.0353,0.0453,3.71e-05,0.165,0.424,212946,"Keep Dancin' On Me"
"1472","Ciara",0.657,0.779,11,-3.739,1,0.0386,0.0931,1.64e-06,0.306,0.585,218026,"Tell Me What Your Name Is"
"1473","Ciara",0.558,0.576,4,-5.729,1,0.0502,0.476,0,0.0614,0.212,228240,"I Don't Remember"
"1474","Ciara",0.701,0.662,6,-5.744,0,0.127,0.342,0,0.234,0.649,225693,"Ciara To The Stage"
"1475","Ciara",0.894,0.665,10,-5.07,0,0.136,0.0201,0,0.306,0.874,220426,"Love Sex Magic"
"1476","Ciara",0.789,0.688,9,-4.538,0,0.064,0.0174,0,0.155,0.682,242533,"High Price"
"1477","Ciara",0.738,0.794,2,-5.192,1,0.0519,0.00856,2.63e-06,0.0536,0.49,271533,"Turntables"
"1478","Ciara",0.632,0.691,8,-3.65,0,0.0759,0.0644,0,0.104,0.322,267266,"Like A Surgeon"
"1479","Ciara",0.669,0.725,11,-6.386,1,0.0337,0.0215,0,0.157,0.287,272613,"Never Ever"
"1480","Ciara",0.651,0.603,4,-6.447,0,0.0408,0.0232,0,0.138,0.159,207933,"Lover's Thing"
"1481","Ciara",0.891,0.893,2,-5.808,1,0.111,0.0195,0.00186,0.262,0.774,245693,"Work"
"1482","Ciara",0.719,0.917,1,-5.535,1,0.0616,0.0943,0,0.58,0.187,231986,"Pucker Up"
