"","artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"11","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.494,0.411,6,-15.021,0,0.771,0.703,0,0.156,0.403,77.539,"3c3XyNDlGm6607OfqGyBHa","https://api.spotify.com/v1/audio-analysis/3c3XyNDlGm6607OfqGyBHa",1,1,53793,FALSE,"https://api.spotify.com/v1/tracks/3c3XyNDlGm6607OfqGyBHa",FALSE,"new lesson (timon, pumbaa & young simba interlude)","https://p.scdn.co/mp3-preview/d32c3eb565398530504bdba91193d15a612d80fb?cid=841bc9c803cd42d7ae6230b2f464867f",11,"track","spotify:track:3c3XyNDlGm6607OfqGyBHa","https://open.spotify.com/track/3c3XyNDlGm6607OfqGyBHa","The Lion King: The Gift","F#","minor","F# minor"
"12","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.608,0.709,7,-6.175,1,0.374,0.119,0,0.337,0.709,105.742,"7oqftogUN82Q7VNy2TmTJW","https://api.spotify.com/v1/audio-analysis/7oqftogUN82Q7VNy2TmTJW",4,1,272068,FALSE,"https://api.spotify.com/v1/tracks/7oqftogUN82Q7VNy2TmTJW",FALSE,"MOOD 4 EVA (feat. Oumou Sangaré)","https://p.scdn.co/mp3-preview/2b31e58664fd1dfa83d765063b06fafc51b2c143?cid=841bc9c803cd42d7ae6230b2f464867f",12,"track","spotify:track:7oqftogUN82Q7VNy2TmTJW","https://open.spotify.com/track/7oqftogUN82Q7VNy2TmTJW","The Lion King: The Gift","G","major","G major"
"13","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0,0.558,0,-17.238,1,0,0.756,0,0.533,0,0,"1T41VK2fuFYbsXjIM7qKif","https://api.spotify.com/v1/audio-analysis/1T41VK2fuFYbsXjIM7qKif",0,1,8619,FALSE,"https://api.spotify.com/v1/tracks/1T41VK2fuFYbsXjIM7qKif",FALSE,"reunited (nala & simba interlude)",NA,13,"track","spotify:track:1T41VK2fuFYbsXjIM7qKif","https://open.spotify.com/track/1T41VK2fuFYbsXjIM7qKif","The Lion King: The Gift","C","major","C major"
"14","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.804,0.823,0,-3.667,0,0.0745,0.0984,3.78e-06,0.246,0.489,124.062,"5vIiGOCqhPwnQDZhWhewGU","https://api.spotify.com/v1/audio-analysis/5vIiGOCqhPwnQDZhWhewGU",4,1,152563,FALSE,"https://api.spotify.com/v1/tracks/5vIiGOCqhPwnQDZhWhewGU",FALSE,"WATER","https://p.scdn.co/mp3-preview/8419e2d5eeb9cfd7fd75121d5e4da2fcb1eb9cf2?cid=841bc9c803cd42d7ae6230b2f464867f",14,"track","spotify:track:5vIiGOCqhPwnQDZhWhewGU","https://open.spotify.com/track/5vIiGOCqhPwnQDZhWhewGU","The Lion King: The Gift","C","minor","C minor"
"15","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.603,0.602,6,-7.083,1,0.23,0.049,0,0.279,0.595,119.703,"0B3FovCVaGKS5w1FTidEUP","https://api.spotify.com/v1/audio-analysis/0B3FovCVaGKS5w1FTidEUP",5,1,248472,FALSE,"https://api.spotify.com/v1/tracks/0B3FovCVaGKS5w1FTidEUP",FALSE,"BROWN SKIN GIRL","https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=841bc9c803cd42d7ae6230b2f464867f",15,"track","spotify:track:0B3FovCVaGKS5w1FTidEUP","https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP","The Lion King: The Gift","F#","major","F# major"
"16","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0,0.186,0,-17.37,1,0,0.783,0.00014,0.333,0,0,"5DgGXyOQGaAvyhMEAdn164","https://api.spotify.com/v1/audio-analysis/5DgGXyOQGaAvyhMEAdn164",0,1,14827,FALSE,"https://api.spotify.com/v1/tracks/5DgGXyOQGaAvyhMEAdn164",FALSE,"come home (nala interlude)",NA,16,"track","spotify:track:5DgGXyOQGaAvyhMEAdn164","https://open.spotify.com/track/5DgGXyOQGaAvyhMEAdn164","The Lion King: The Gift","C","major","C major"
"17","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.731,0.674,2,-6.704,1,0.0801,0.0057,2.54e-05,0.109,0.73,90.022,"3KZK9MF3bAixN5UWOHVTbf","https://api.spotify.com/v1/audio-analysis/3KZK9MF3bAixN5UWOHVTbf",4,1,198952,FALSE,"https://api.spotify.com/v1/tracks/3KZK9MF3bAixN5UWOHVTbf",FALSE,"KEYS TO THE KINGDOM","https://p.scdn.co/mp3-preview/328f4d77d9d5a2f9d3d640a0bd4471272bd85a49?cid=841bc9c803cd42d7ae6230b2f464867f",17,"track","spotify:track:3KZK9MF3bAixN5UWOHVTbf","https://open.spotify.com/track/3KZK9MF3bAixN5UWOHVTbf","The Lion King: The Gift","D","major","D major"
"18","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.628,0.287,9,-16.666,0,0.66,0.675,0,0.426,0.535,83.69,"1OTXnoe2AGsDQ3Yp1vxI9s","https://api.spotify.com/v1/audio-analysis/1OTXnoe2AGsDQ3Yp1vxI9s",4,1,31391,FALSE,"https://api.spotify.com/v1/tracks/1OTXnoe2AGsDQ3Yp1vxI9s",FALSE,"follow me (simba & rafiki interlude)","https://p.scdn.co/mp3-preview/eb7d0170074904d2a3cc5f8aaea8a8ba6ab4c8a6?cid=841bc9c803cd42d7ae6230b2f464867f",18,"track","spotify:track:1OTXnoe2AGsDQ3Yp1vxI9s","https://open.spotify.com/track/1OTXnoe2AGsDQ3Yp1vxI9s","The Lion King: The Gift","A","minor","A minor"
"19","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.647,0.732,2,-5.846,1,0.0891,0.0846,0,0.597,0.548,67.295,"6tgEc2O1uFHcZDKPoo6PC8","https://api.spotify.com/v1/audio-analysis/6tgEc2O1uFHcZDKPoo6PC8",3,1,222529,FALSE,"https://api.spotify.com/v1/tracks/6tgEc2O1uFHcZDKPoo6PC8",FALSE,"ALREADY","https://p.scdn.co/mp3-preview/6e8bef4d9afb67163e187822d7f872364963f949?cid=841bc9c803cd42d7ae6230b2f464867f",19,"track","spotify:track:6tgEc2O1uFHcZDKPoo6PC8","https://open.spotify.com/track/6tgEc2O1uFHcZDKPoo6PC8","The Lion King: The Gift","D","major","D major"
"20","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.255,0.32,8,-19.821,1,0.0533,0.826,0.0219,0.261,0.302,87.301,"3FrP4HVPTAZPDhDtClu5wX","https://api.spotify.com/v1/audio-analysis/3FrP4HVPTAZPDhDtClu5wX",3,1,45293,FALSE,"https://api.spotify.com/v1/tracks/3FrP4HVPTAZPDhDtClu5wX",FALSE,"remember (mufasa interlude)","https://p.scdn.co/mp3-preview/11abb223191c056f44c54ece958e89aad2f38e52?cid=841bc9c803cd42d7ae6230b2f464867f",20,"track","spotify:track:3FrP4HVPTAZPDhDtClu5wX","https://open.spotify.com/track/3FrP4HVPTAZPDhDtClu5wX","The Lion King: The Gift","G#","major","G# major"
"21","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.258,0.248,3,-9.507,1,0.0343,0.944,0.00365,0.0967,0.369,80.187,"1nywz2hyM3E46PxLgscU9j","https://api.spotify.com/v1/audio-analysis/1nywz2hyM3E46PxLgscU9j",5,1,219991,FALSE,"https://api.spotify.com/v1/tracks/1nywz2hyM3E46PxLgscU9j",FALSE,"OTHERSIDE","https://p.scdn.co/mp3-preview/d72fa0d29c06dc88b17e99f9b2e5373fcb057034?cid=841bc9c803cd42d7ae6230b2f464867f",21,"track","spotify:track:1nywz2hyM3E46PxLgscU9j","https://open.spotify.com/track/1nywz2hyM3E46PxLgscU9j","The Lion King: The Gift","D#","major","D# major"
"22","Beyoncé","6vWDO969PvNqNYHIOW5v0m","552zi1M53PQAX5OH4FIdTx","album","2019-07-19",2019,"day",0.399,0.38,10,-10.247,1,0.355,0.432,5.9e-06,0.536,0.123,80.096,"50S6TvqQ0qvR5ZkyDotVJT","https://api.spotify.com/v1/audio-analysis/50S6TvqQ0qvR5ZkyDotVJT",3,1,18047,FALSE,"https://api.spotify.com/v1/tracks/50S6TvqQ0qvR5ZkyDotVJT",FALSE,"war (nala interlude)",NA,22,"track","spotify:track:50S6TvqQ0qvR5ZkyDotVJT","https://open.spotify.com/track/50S6TvqQ0qvR5ZkyDotVJT","The Lion King: The Gift","A#","major","A# major"
