"","artist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","duration_ms","track_name"
"109","Beyoncé",0.806,0.774,0,-4.162,0,0.0535,0.00192,0.703,0.238,0.358,377093,"Run the World (Girls) - Jochen Simms Club Remix"
"110","Beyoncé",0.352,0.655,0,-10.571,1,0.0736,6.63e-05,0.806,0.659,0.0852,71866,"Intro - Live"
"111","Beyoncé",0.562,0.967,9,-4.919,0,0.271,0.0496,7.37e-05,0.953,0.268,323733,"Crazy In Love - Live"
"112","Beyoncé",0.591,0.79,6,-7.864,0,0.0956,0.0488,0.000922,0.417,0.245,154026,"Naughty Girl - Live"
"113","Beyoncé",0.429,0.967,7,-5.08,1,0.309,0.000279,0.00215,0.933,0.184,190986,"Freakum Dress - Live"
"114","Beyoncé",0.556,0.945,3,-5.756,1,0.52,0.141,0.000146,0.347,0.184,149626,"Get Me Bodied - Live"
"115","Beyoncé",0.524,0.691,1,-7.99,1,0.0332,0.0196,0.00668,0.939,0.208,231933,"Smash Into You - Live"
"116","Beyoncé",0.275,0.449,0,-10.563,1,0.0335,0.613,4.25e-05,0.857,0.0784,255440,"Ave Maria - Live"
"117","Beyoncé",0.297,0.596,5,-7.308,1,0.21,0.537,5.85e-06,0.971,0.15,192480,"Broken-Hearted Girl - Live"
"118","Beyoncé",0.306,0.945,6,-5.32,1,0.424,0.0131,0.0272,0.892,0.157,316773,"If I Were A Boy / You Oughta Know - Live"
"119","Beyoncé",0.601,0.939,11,-7.323,0,0.309,0.00252,0.00431,0.289,0.337,179893,"Diva - Live"
"120","Beyoncé",0.509,0.739,1,-6.124,1,0.287,0.0577,1.69e-06,0.904,0.353,123600,"Radio - Live"
"121","Beyoncé",0.476,0.844,1,-7.971,1,0.659,0.367,2.68e-06,0.867,0.603,114906,"Ego (feat. Kanye West) - feat. Kanye West - Live"
"122","Beyoncé",0.426,0.903,6,-6.175,1,0.236,0.0547,2.4e-06,0.924,0.534,217466,"Hello - Live"
"123","Beyoncé",0.473,0.84,1,-8.271,1,0.313,0.0307,0.0199,0.475,0.217,129613,"Baby Boy - Live"
"124","Beyoncé",0.395,0.592,10,-10.841,1,0.0443,0.00778,0.0348,0.816,0.314,108626,"You Don't Love Me, No No No - Live"
"125","Beyoncé",0.304,0.921,11,-8.559,0,0.79,0.0346,2.38e-06,0.983,0.266,304106,"Irreplaceable - Live"
"126","Beyoncé",0.399,0.741,2,-8.987,1,0.484,0.235,0.0245,0.413,0.267,128639,"Check On It - Live"
"127","Beyoncé",0.542,0.878,1,-8.096,1,0.297,0.0064,0,0.859,0.438,50773,"Bootylicious - Live"
"128","Beyoncé",0.565,0.807,7,-7.988,1,0.293,0.00102,0.21,0.971,0.334,135866,"Upgrade U - Live"
"129","Beyoncé",0.503,0.871,8,-6.659,1,0.404,0.306,0,0.823,0.448,139893,"Say My Name - Live"
"130","Beyoncé",0.143,0.315,2,-12.587,0,0.0368,0.306,0.00888,0.916,0.255,179960,"At Last - Live"
"131","Beyoncé",0.358,0.641,9,-8.823,1,0.0752,0.193,4.55e-05,0.763,0.171,202160,"Listen (From the Motion Picture ""Dreamgirls"") - Live"
"132","Beyoncé",0.628,0.894,11,-5.448,0,0.137,0.018,3.52e-05,0.922,0.198,262920,"Single Ladies (Put a Ring on It) - Live"
"133","Beyoncé",0.261,0.913,1,-5.795,1,0.433,0.0352,0.000241,0.863,0.217,391893,"Halo - Live"
"134","Beyoncé",0.326,0.975,10,-5.784,0,0.233,0.000703,0.051,0.815,0.22,118653,"Outro - Live"
"135","Beyoncé",0.712,0.828,1,-7.108,1,0.0418,0.00323,0.115,0.0264,0.885,387080,"If I Were a Boy - Maurice Joshua Mojo UK Remix - Main"
"136","Beyoncé",0.796,0.92,6,-5.638,0,0.0873,0.00241,0.923,0.0243,0.783,413826,"Single Ladies (Put a Ring on It) - DJ Escape & Tony Coluccio Remix - Club Version"
"137","Beyoncé",0.846,0.629,8,-7.355,0,0.0658,0.00327,0.00223,0.0655,0.622,305946,"Diva - Karmatronic Club Remix"
"138","Beyoncé",0.802,0.702,11,-6.601,0,0.0616,0.0147,0.653,0.0162,0.851,533293,"Halo - Dave Audé Club Remix"
"139","Beyoncé",0.372,0.751,0,-6.694,1,0.257,0.0846,8.02e-06,0.122,0.0813,285640,"Broken-Hearted Girl - Catalyst Remix"
"140","Beyoncé",0.846,0.683,10,-6.148,0,0.0654,0.0452,1.74e-05,0.0583,0.613,387320,"Ego - OK DAC Club Remix"
"141","Beyoncé",0.772,0.863,11,-6.35,1,0.0423,0.00202,0.487,0.331,0.774,401960,"Sweet Dreams - Harlan Pepper & AG III Remix"
"142","Beyoncé",0.574,0.421,1,-5.443,1,0.174,0.0989,0,0.0568,0.341,283933,"Ego (feat. Kanye West) - Remix"
"143","Beyoncé",0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,249146,"If I Were a Boy"
"144","Beyoncé",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,261640,"Halo"
"145","Beyoncé",0.492,0.348,5,-10.676,1,0.0301,0.128,0,0.326,0.206,267453,"Disappear"
"146","Beyoncé",0.336,0.424,5,-7.203,1,0.0353,0.503,0,0.273,0.159,277626,"Broken-Hearted Girl"
"147","Beyoncé",0.35,0.403,0,-9.57,1,0.0279,0.786,0,0.114,0.201,222160,"Ave Maria"
